                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.38722,                  1.005,                 1.0936,                0.46772,                0.52653,                0.46587,                0.40855,                0.47998,                 1.8312,                0.89983,                0.00307,                0.00307,                0.00307
                     37,                0.38495,                0.99167,                 1.0948,                0.44495,                0.57078,                0.46848,                0.41277,                0.46085,                 1.8335,                0.97282,               0.002872,               0.002872,               0.002872
                     38,                0.38256,                0.98163,                 1.0912,                0.43238,                0.58329,                0.47058,                0.41445,                0.46707,                 1.8453,                0.92436,               0.002674,               0.002674,               0.002674
                     39,                0.37613,                0.96765,                 1.0905,                 0.4788,                0.56255,                0.46974,                0.41346,                0.47536,                 1.8315,                0.87942,               0.002476,               0.002476,               0.002476
                     40,                0.37463,                0.95419,                 1.0881,                0.46504,                0.53026,                0.46847,                0.41094,                0.48894,                 1.8467,                0.84628,               0.002278,               0.002278,               0.002278
                     41,                0.30283,                0.62276,                 1.0597,                0.47927,                0.54388,                0.46498,                 0.4065,                0.49305,                 1.8951,                0.84268,                0.00208,                0.00208,                0.00208
                     42,                0.29335,                0.57459,                 1.0568,                 0.5177,                0.52186,                0.46632,                0.40741,                0.49621,                 1.9636,                 0.8597,               0.001882,               0.001882,               0.001882
                     43,                0.28828,                0.53912,                 1.0521,                0.53477,                0.48284,                0.46072,                0.40154,                0.50116,                 2.0277,                 0.8687,               0.001684,               0.001684,               0.001684
                     44,                0.28217,                0.50289,                 1.0513,                0.52128,                0.49986,                0.45794,                0.39925,                0.50064,                 2.0892,                0.87467,               0.001486,               0.001486,               0.001486
                     45,                0.27178,                0.47788,                 1.0387,                0.52383,                0.49635,                0.46059,                0.39977,                0.50434,                 2.1162,                0.86335,               0.001288,               0.001288,               0.001288
                     46,                0.26683,                0.44896,                 1.0315,                0.41383,                0.56704,                0.45713,                0.39696,                0.50986,                 2.1356,                0.85293,                0.00109,                0.00109,                0.00109
                     47,                0.26697,                0.42471,                 1.0329,                0.41201,                0.56486,                0.45692,                0.39632,                0.50905,                 2.1646,                0.86501,               0.000892,               0.000892,               0.000892
                     48,                0.25867,                0.40178,                 1.0279,                0.40803,                0.59384,                0.45511,                0.39417,                0.51057,                 2.1824,                0.86853,               0.000694,               0.000694,               0.000694
                     49,                0.25482,                 0.3778,                 1.0268,                0.40355,                0.59418,                0.45307,                0.39242,                0.51231,                 2.2069,                0.87069,               0.000496,               0.000496,               0.000496
                     50,                0.25091,                0.35793,                 1.0217,                0.41027,                0.60167,                0.45197,                0.39287,                0.51382,                 2.2307,                0.86903,               0.000298,               0.000298,               0.000298
